D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_38_676.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_38_676.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_38_676.jpg, 0, 0, 0, 4.007944
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_38_776.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_38_776.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_38_776.jpg, 0, 0, 0, 3.963371
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_38_879.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_38_879.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_38_879.jpg, 0, 0, 0, 3.919256
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_38_982.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_38_982.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_38_982.jpg, 0, 0, 0, 3.875592
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_084.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_084.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_084.jpg, -0.1272378, 0.1126704, 0, 3.866453
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_189.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_189.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_189.jpg, -0.4957401, 0.4811727, 0, 4.26018
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_290.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_290.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_290.jpg, -0.7899768, 0.7754095, 0, 4.937177
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_391.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_391.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_391.jpg, -1, 1, 0, 5.905793
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_494.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_494.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_494.jpg, -0.9588415, 1, 0, 6.994956
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_594.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_594.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_594.jpg, -0.6464823, 1, 0, 8.143473
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_698.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_698.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_698.jpg, -0.3583926, 1, 0, 9.285994
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_802.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_802.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_802.jpg, -0.3357907, 1, 0, 10.40002
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_39_906.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_39_906.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_39_906.jpg, -0.424217, 1, 0, 11.77535
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_40_011.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_40_011.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_40_011.jpg, -0.1255268, 1, 0, 12.67758
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_40_113.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_40_113.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_40_113.jpg, 0, 1, 0, 13.88915
D:\capstone\simulator\data\IMG\center_2024_03_29_19_47_40_215.jpg, D:\capstone\simulator\data\IMG\left_2024_03_29_19_47_40_215.jpg, D:\capstone\simulator\data\IMG\right_2024_03_29_19_47_40_215.jpg, 0, 1, 0, 14.83059
